time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport,size_array,fopts_size
2020-05-01T00:01:15.989546Z,26012572,QHIlASaA3f0FcIbUXbhxHLnompc86H6D6Ze2oM4=,0000024b0b031c97,1,868300000,12.0,125.0,4/5,-97,9.8,-1,10,64989,5.0,29,0.0
2020-05-01T00:01:16.416521Z,26002d88,QIgtACaAuTkF9u5xBvhj4TOZjbsL,0000024b0b031c97,1,867100000,7.0,125.0,4/5,-89,8.0,-1,10,14777,5.0,21,0.0
2020-05-01T00:01:16.465153Z,260027aa,QKonACaAuDkFczLDFbH8iVztuXJk,0000024b0b031c97,1,867300000,7.0,125.0,4/5,-101,3.8,-1,10,14776,5.0,21,0.0
2020-05-01T00:01:16.662393Z,20000005,QAUAACCApJoKlEhLGbVuKP903t9IiH7Ob2zBEbk=,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-109,-4.0,-1,10,39588,10.0,29,0.0
2020-05-01T00:01:18.717721Z,004c0eb4,QLQOTACBPAACBcIbRhEoxr1xJ9Hasxs4en/f5zNX,0000024b0b031c97,1,867300000,9.0,125.0,4/5,-109,-2.5,-1,10,60,5.0,30,1.0
2020-05-01T00:01:18.965552Z,26002b82,QIIrACaAuTkF1uR/2AsgaLloMKby,0000024b0b031c97,1,867100000,7.0,125.0,4/5,-106,-5.8,-1,10,14777,5.0,21,0.0
2020-05-01T00:01:19.787120Z,26012682,QIImASYAJNQBrcLATMnFE6ACIA==,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-77,9.2,-1,10,54308,1.0,19,0.0
2020-05-01T00:01:22.207480Z,270002fc,QPwCACcAx1oFgsNdOgN+lXmpFSfqrRMK9NHEDfv0pw==,0000024b0b031c97,1,868100000,8.0,125.0,4/5,-103,-3.8,-1,10,23239,5.0,31,0.0
2020-05-01T00:01:23.595110Z,270082a4,QKSCACeArAABcVy4r24j20/KjBZVOMLMOtAoG2HncRPxnmPk,0000024b0b031c97,1,867900000,11.0,125.0,4/5,-101,7.0,-1,10,172,1.0,36,0.0
2020-05-01T00:01:25.608119Z,27007d1c,QBx9ACcAAgACO/ziz/oVgXblU7Vf3gi+4mcUdIaU,0000024b0b031c97,1,867300000,8.0,125.0,4/5,-99,-4.8,-1,10,2,2.0,30,0.0
2020-05-01T00:01:27.869862Z,26012b50,QFArASaApggFIH83Aoy7kzkpYfloO0faTsRm4INZ,0000024b0b031c97,1,868100000,12.0,125.0,4/5,-94,-2.8,-1,10,2214,5.0,30,0.0
