size_compress,headers_length,packets_rank,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
145,496,0,16,21,30,34,34,34,34,34,34,34,34,40,49,49,49,49,49,49,49,51,52,66,68,84,100,105,120,124,130,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367097
132,432,9,16,21,31,31,32,32,32,32,32,32,32,36,40,40,40,40,40,40,40,50,59,60,74,88,105,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367118
128,432,6,16,21,30,30,30,30,30,30,30,30,30,37,42,42,42,42,42,42,42,42,42,62,66,81,96,111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367127
315,816,3,16,21,30,44,46,46,46,46,46,46,46,53,57,57,57,57,57,57,57,57,57,79,81,97,112,129,145,147,151,163,163,163,163,171,182,202,220,243,248,257,261,266,267,268,280,283,292,294,296,308,367184
404,816,10,16,21,30,52,52,52,52,52,52,52,52,58,67,67,67,67,67,67,67,69,69,81,81,104,120,136,152,152,157,174,174,174,174,180,192,210,227,251,259,272,282,289,295,311,325,339,356,373,390,395,367203
130,432,2,16,21,30,30,30,30,30,30,30,30,30,37,46,46,46,46,46,46,46,46,46,66,67,81,97,117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367279
394,816,8,16,21,30,52,52,52,52,52,52,52,52,59,67,67,67,67,67,67,67,69,70,86,86,103,121,138,154,154,162,177,177,177,177,183,200,216,235,253,258,272,278,285,295,312,318,341,359,369,380,388,367333
401,816,8,16,21,30,54,55,55,55,55,55,55,55,58,67,67,67,67,67,67,67,67,72,85,87,102,120,137,151,156,163,183,183,183,183,190,204,219,240,265,269,277,292,298,308,321,334,353,368,373,389,396,367393
127,432,11,16,21,29,29,29,29,29,29,29,29,29,37,45,45,45,45,45,45,45,46,46,61,63,80,96,111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367588
183,496,1,16,21,26,37,39,39,39,39,39,39,39,41,41,41,41,41,41,41,41,55,61,66,87,103,119,134,152,158,164,183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367638
145,496,0,16,21,30,35,37,37,37,37,37,37,37,41,48,48,48,48,48,48,48,51,51,67,67,85,101,109,121,121,129,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367745
146,496,0,16,21,29,36,36,36,36,36,36,36,36,40,49,49,49,49,49,49,49,49,51,65,67,84,99,109,118,122,124,146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367793
143,496,0,16,21,31,36,36,36,36,36,36,36,36,42,50,50,50,50,50,50,50,50,53,67,71,86,103,111,121,126,131,143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367829
157,464,5,16,21,28,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,60,67,68,85,102,114,136,148,148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367858
146,496,0,16,21,30,37,37,37,37,37,37,37,37,41,45,45,45,45,45,45,45,51,51,69,71,85,102,111,118,126,131,146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367901
130,432,11,16,21,31,31,31,31,31,31,31,31,31,38,46,46,46,46,46,46,46,46,49,63,65,82,99,114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367984
144,432,9,16,21,30,30,33,33,33,33,33,33,33,35,39,39,39,39,39,39,39,50,58,58,79,93,110,128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368006
146,496,0,16,21,30,35,37,37,37,37,37,37,37,42,47,47,47,47,47,47,47,51,52,67,67,84,101,110,120,124,127,146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368129
411,816,8,16,21,29,50,51,51,51,51,51,51,51,57,65,65,65,65,65,65,65,68,68,80,86,102,116,134,155,155,163,173,173,173,173,182,199,212,235,257,261,274,278,287,298,315,327,348,357,381,393,402,368137
318,816,2,16,21,30,44,44,44,44,44,44,44,44,48,55,55,55,55,55,55,55,62,63,74,80,95,113,129,146,146,152,162,162,162,162,171,188,204,215,240,245,256,258,262,265,267,277,281,289,289,297,308,368227
320,816,3,16,21,29,41,41,41,41,41,41,41,41,47,59,59,59,59,59,59,59,61,61,76,76,95,111,127,147,147,154,172,172,172,172,176,195,211,220,249,251,263,265,270,271,273,284,287,294,299,304,316,368372
158,464,8,16,21,28,31,39,39,39,39,39,39,39,44,44,44,44,44,44,44,44,57,66,66,87,103,120,136,154,155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368497
141,432,8,16,21,30,30,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,50,57,57,77,93,111,125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368533
144,496,0,16,21,30,36,36,36,36,36,36,36,36,43,50,50,50,50,50,50,50,50,50,66,70,86,102,112,121,126,132,144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368549
151,464,4,16,21,29,37,39,39,39,39,39,39,39,39,46,46,46,46,46,46,46,57,63,66,84,99,116,132,144,144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368565
155,464,5,16,21,31,40,42,42,42,42,42,42,42,44,46,46,46,46,46,46,46,60,67,67,86,101,115,133,150,153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368578
156,464,5,16,21,29,39,40,40,40,40,40,40,40,44,44,44,44,44,44,44,44,58,64,66,79,103,119,135,155,156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368758
189,496,1,16,21,29,37,38,38,38,38,38,38,38,41,46,46,46,46,46,46,46,57,64,64,85,98,120,137,155,161,170,189,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368814
129,432,11,16,21,30,30,30,30,30,30,30,30,30,38,42,42,42,42,42,42,42,48,49,65,67,83,95,113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368848
141,432,4,16,21,31,31,33,33,33,33,33,33,33,36,39,39,39,39,39,39,39,50,55,55,73,92,107,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368937
144,432,9,16,21,30,30,33,33,33,33,33,33,33,36,38,38,38,38,38,38,38,50,57,58,73,93,111,127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369002
190,496,1,16,21,28,37,38,38,38,38,38,38,38,42,45,45,45,45,45,45,45,56,63,63,84,101,116,126,154,161,168,190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369042
400,816,7,16,21,31,54,54,54,54,54,54,54,54,62,66,66,66,66,66,66,66,72,73,87,91,107,122,139,149,157,164,181,181,181,181,187,202,218,234,260,263,275,287,294,303,319,330,346,358,375,382,393,369108
147,448,8,16,21,31,39,39,39,39,39,39,39,39,44,54,54,54,54,54,54,54,56,57,73,73,92,107,121,139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369109
141,432,5,16,21,30,30,32,32,32,32,32,32,32,36,40,40,40,40,40,40,40,48,57,57,75,91,108,126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369226
146,448,6,16,21,30,39,39,39,39,39,39,39,39,46,53,53,53,53,53,53,53,55,55,71,74,91,105,124,139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369227
144,448,7,16,21,30,38,38,38,38,38,38,38,38,45,49,49,49,49,49,49,49,54,54,70,72,88,105,122,135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369240
148,464,3,16,21,31,40,41,41,41,41,41,41,41,43,49,49,49,49,49,49,49,59,67,67,80,92,111,126,142,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369320
134,432,9,16,21,31,31,32,32,32,32,32,32,32,35,40,40,40,40,40,40,40,48,58,58,70,86,103,114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369326
142,496,0,16,21,27,36,36,36,36,36,36,36,36,41,49,49,49,49,49,49,49,49,52,66,68,83,99,109,119,120,127,142,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369329
375,816,7,16,21,30,52,54,54,54,54,54,54,54,54,68,68,68,68,68,68,68,71,71,84,89,104,122,139,159,159,163,177,177,177,177,183,196,212,230,246,251,265,275,281,291,307,316,329,344,356,370,373,369432
