size_compress,headers_length,packets_rank,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
153,520,2,16,21,37,39,39,39,39,39,39,39,39,48,60,60,60,60,60,60,60,64,64,85,87,94,110,113,128,133,133,135,143,148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25816
99,432,1,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,24,36,54,61,77,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25821
147,520,0,16,27,42,45,45,45,45,45,45,45,45,59,62,62,62,62,62,62,62,69,71,93,98,101,118,118,137,140,140,140,145,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26464
209,640,3,16,16,16,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,45,61,74,88,99,119,123,138,152,153,159,162,169,170,171,171,179,179,185,190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27465
105,432,3,16,16,16,22,22,22,22,22,22,22,22,22,24,24,24,24,24,24,24,28,31,41,58,62,80,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29179
152,512,0,16,25,38,43,43,43,43,43,43,43,43,55,68,68,68,68,68,68,68,72,74,89,97,100,117,121,137,142,142,143,148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30068
151,520,6,16,25,42,47,47,47,47,47,47,47,47,59,66,66,66,66,66,66,66,66,66,89,95,96,112,112,129,132,132,136,137,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30678
131,744,3,16,16,16,16,16,16,16,16,16,16,16,21,22,22,22,22,22,22,22,23,30,40,58,64,79,83,104,111,115,116,120,120,124,125,127,127,127,127,127,131,131,131,131,131,131,131,-1,-1,-1,-1,31387
203,640,7,16,16,16,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,45,61,74,86,92,110,111,129,141,144,149,151,158,159,159,166,174,174,176,190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31395
151,504,2,16,16,40,47,47,47,47,47,47,47,47,61,63,63,63,63,63,63,63,65,67,89,97,103,120,123,139,145,145,145,151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31792
136,560,1,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,26,48,56,75,79,95,97,116,124,124,124,130,130,131,134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32595
105,432,3,16,16,16,22,22,22,22,22,22,22,22,22,24,24,24,24,24,24,24,28,31,41,58,64,75,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32597
135,744,3,16,16,16,16,16,16,16,16,16,16,16,21,22,22,22,22,22,22,22,23,30,40,55,62,78,85,105,117,117,117,123,125,128,128,132,132,132,132,133,135,135,135,135,135,135,135,-1,-1,-1,-1,32833
196,640,5,16,16,16,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,45,61,74,85,97,116,121,138,149,151,158,161,163,163,170,173,182,182,182,187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32835
163,552,4,16,27,44,45,45,45,45,45,45,45,45,52,60,60,60,60,60,60,60,64,66,82,88,94,113,113,130,140,141,147,147,152,152,161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34778
111,432,5,16,16,16,22,22,22,22,22,22,22,22,22,24,24,24,24,24,24,24,28,31,41,57,66,83,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34779
143,504,4,16,18,42,45,45,45,45,45,45,45,45,58,58,58,58,58,58,58,58,64,67,85,94,96,114,120,134,139,139,139,143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36784
184,640,7,16,16,16,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,29,45,59,73,79,100,106,119,131,132,138,141,146,148,153,156,161,161,161,171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36787
173,512,2,16,21,39,42,42,42,42,42,42,42,42,53,76,76,76,76,76,76,76,80,83,102,109,113,129,134,150,155,155,160,164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38388
147,504,2,16,27,44,48,48,48,48,48,48,48,48,61,61,61,61,61,61,61,61,65,70,87,94,96,115,117,135,138,138,144,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40514
138,552,0,16,18,37,43,43,43,43,43,43,43,43,43,50,50,50,50,50,50,50,56,57,76,83,85,103,104,119,127,127,127,127,135,137,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41156
147,520,0,16,24,39,45,45,45,45,45,45,45,45,56,62,62,62,62,62,62,62,69,70,91,96,103,112,122,136,140,140,140,146,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41954
114,432,9,16,16,16,22,22,22,22,22,22,22,22,22,24,24,24,24,24,24,24,28,31,41,57,61,79,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41963
