size_compress,headers_length,packets_rank,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
116,496,0,16,21,29,31,34,34,34,34,34,34,34,38,38,38,38,38,38,38,38,38,41,52,54,68,88,91,91,95,103,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367097
134,432,9,16,21,27,27,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,40,42,50,72,86,104,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367118
118,432,6,16,21,28,28,28,28,28,28,28,28,28,33,37,37,37,37,37,37,37,37,37,53,57,69,89,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367127
292,816,3,16,21,31,42,49,49,49,49,49,49,49,49,55,55,55,55,55,55,55,57,57,74,76,93,109,123,142,145,146,159,159,159,159,169,178,194,214,225,225,231,231,231,237,237,251,256,260,261,268,288,367184
438,816,10,16,21,28,59,59,59,59,59,59,59,59,64,68,68,68,68,68,68,68,68,68,81,83,101,116,131,149,152,152,173,173,173,173,183,198,208,225,242,242,253,283,302,312,342,346,357,376,393,418,432,367203
121,432,2,16,21,30,31,32,32,32,32,32,32,32,35,38,38,38,38,38,38,38,40,40,56,58,76,92,106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367279
424,816,8,16,21,31,61,61,61,61,61,61,61,61,63,67,67,67,67,67,67,67,67,67,87,89,104,119,137,154,154,157,170,170,170,170,181,198,206,222,233,233,246,280,299,309,337,340,360,376,378,396,406,367333
451,816,8,16,21,27,65,65,65,65,65,65,65,65,69,73,73,73,73,73,73,73,73,73,86,88,99,121,135,153,156,156,174,174,174,174,186,199,207,227,250,250,262,292,313,324,352,353,370,392,414,425,436,367393
117,432,11,16,21,29,29,30,30,30,30,30,30,30,34,36,36,36,36,36,36,36,36,36,49,53,70,86,102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367588
174,496,1,16,21,29,35,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,46,47,54,78,94,110,129,149,152,158,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367638
123,496,0,16,21,31,35,37,37,37,37,37,37,37,39,40,40,40,40,40,40,40,40,40,58,60,74,89,95,98,100,102,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367745
123,496,0,16,21,26,31,31,31,31,31,31,31,31,37,37,37,37,37,37,37,37,37,37,59,63,79,95,99,99,99,108,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367793
116,496,0,16,21,30,34,34,34,34,34,34,34,34,39,39,39,39,39,39,39,39,41,41,55,57,71,88,92,94,98,102,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367829
139,464,5,16,21,29,33,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,43,48,55,72,90,106,121,134,139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367858
125,496,0,16,21,30,34,36,36,36,36,36,36,36,40,41,41,41,41,41,41,41,41,41,57,59,76,92,96,98,99,105,125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367901
122,432,11,16,21,28,28,28,28,28,28,28,28,28,28,38,38,38,38,38,38,38,38,39,54,54,72,90,106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367984
126,432,9,16,21,25,25,25,25,25,25,25,25,25,33,34,34,34,34,34,34,34,40,42,45,67,83,102,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368006
119,496,0,16,21,30,34,34,34,34,34,34,34,34,40,40,40,40,40,40,40,40,40,40,56,58,72,88,91,91,98,103,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368129
456,816,8,16,21,28,54,54,54,54,54,54,54,54,59,63,63,63,63,63,63,63,63,63,78,80,96,110,127,138,147,148,159,159,159,159,173,189,199,223,241,241,247,281,300,313,335,343,364,381,407,422,437,368137
297,816,2,16,21,26,45,46,46,46,46,46,46,46,52,54,54,54,54,54,54,54,54,54,70,72,90,109,124,140,141,142,155,155,155,155,165,181,191,208,220,220,223,227,227,235,235,244,253,255,256,264,291,368227
317,816,3,16,21,29,45,46,46,46,46,46,46,46,48,53,53,53,53,53,53,53,53,55,66,71,88,105,116,138,141,141,159,159,159,159,169,186,196,215,228,229,233,235,235,242,242,254,260,260,264,272,296,368372
