packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
8,416,114,4,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,25,25,31,47,62,80,96,114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368533
0,480,93,4,11,14,14,14,14,14,14,14,14,20,20,20,20,20,20,20,20,20,20,36,36,51,67,71,71,73,73,93,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368549
4,448,122,4,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,25,33,47,63,82,99,118,119,122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368565
5,448,136,4,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,26,26,31,56,73,91,109,133,136,136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368578
5,448,122,4,16,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,27,27,32,54,67,85,102,118,118,122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368758
1,480,151,4,11,16,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,24,24,31,47,62,79,103,120,135,135,151,151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368814
11,416,101,4,10,10,14,14,14,14,14,14,14,18,18,18,18,18,18,18,18,18,18,33,33,49,66,86,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368848
4,416,109,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,18,18,24,39,61,71,96,109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,368937
9,416,108,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17,17,24,40,56,73,90,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369002
1,480,148,4,14,17,17,17,17,17,17,17,17,20,20,20,20,20,20,20,20,26,26,31,47,64,82,100,117,130,133,148,148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369042
7,800,475,4,13,45,45,45,45,45,45,45,45,48,48,48,48,48,48,48,48,48,48,63,64,79,97,113,127,130,130,150,150,150,150,160,175,183,193,216,216,227,257,275,284,310,314,328,355,382,408,455,475,369108
8,432,108,4,12,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,22,22,38,38,53,66,88,97,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369109
5,416,116,4,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,18,18,25,47,60,79,98,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369226
6,432,111,4,10,19,20,20,20,20,20,20,20,23,23,23,23,23,23,23,23,23,23,43,43,58,72,91,105,111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369227
7,432,112,4,12,18,18,18,18,18,18,18,18,22,22,22,22,22,22,22,22,22,22,42,44,59,74,91,104,112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369240
3,448,115,4,4,15,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,21,21,28,46,62,77,92,113,113,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369320
9,416,106,4,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,18,18,25,42,59,74,88,106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369326
0,480,95,4,12,14,19,19,19,19,19,19,19,21,21,21,21,21,21,21,21,21,21,39,39,57,67,76,76,76,76,95,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369329
7,800,433,4,12,33,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,43,43,61,61,78,97,113,141,144,144,156,156,156,156,164,180,187,205,229,231,242,273,289,301,326,329,341,367,375,403,419,433,369432
9,416,116,4,13,13,13,13,13,13,13,13,13,18,18,18,18,18,18,18,18,23,23,28,48,68,85,99,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369446
4,448,126,4,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27,27,32,53,71,86,101,119,124,126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369537
0,480,97,4,15,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,42,42,58,75,79,79,80,80,97,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369677
3,416,100,4,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,17,17,17,17,36,36,52,69,85,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369716
0,480,94,4,14,16,16,16,16,16,16,16,16,24,24,24,24,24,24,24,24,24,24,40,40,55,73,74,74,81,81,94,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369797
5,448,119,4,11,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,24,24,30,48,62,80,96,107,115,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369838
9,416,112,4,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,20,20,26,42,59,76,93,112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369842
4,416,110,4,14,14,14,14,14,14,14,14,14,19,19,19,19,19,19,19,19,19,19,38,38,54,70,86,110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369849
4,416,112,4,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,19,19,25,43,61,75,94,112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369885
5,448,118,4,12,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,22,22,28,45,64,81,96,116,117,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369886
11,416,100,4,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,16,35,35,53,70,87,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369904
5,416,113,4,11,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,18,18,26,45,63,80,96,113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369934
11,416,109,4,13,13,13,13,13,13,13,13,13,20,20,20,20,20,20,20,20,20,20,43,43,59,75,92,109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370024
11,416,95,4,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,29,33,47,64,82,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370084
8,800,436,4,14,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,60,60,70,93,108,128,133,133,150,150,150,150,157,178,189,207,232,232,243,275,292,302,324,329,347,368,384,404,429,436,370105
5,416,115,4,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,29,53,64,83,100,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370138
1,480,163,4,12,15,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,23,23,29,50,69,82,101,119,135,138,163,163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370170
6,416,110,4,13,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,31,33,49,71,91,110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370367
6,800,472,4,12,54,54,54,54,54,54,54,54,59,59,59,59,59,59,59,59,59,59,71,71,89,106,122,140,141,141,163,163,163,163,171,189,194,220,237,238,246,280,295,307,332,336,351,378,410,444,462,472,370439
11,416,98,4,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,33,33,49,65,81,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370456
1,480,148,4,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23,23,28,49,66,82,98,113,131,134,148,148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370482
8,432,111,4,14,19,19,19,19,19,19,19,19,22,22,22,22,22,22,22,22,22,22,36,36,51,67,88,104,111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370489
11,416,104,4,13,14,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,28,34,51,66,83,104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370516
7,800,493,4,15,45,45,45,45,45,45,45,45,52,52,52,52,52,52,52,52,52,52,72,72,91,108,124,141,142,144,162,162,162,162,169,194,201,225,253,253,263,297,312,322,346,353,367,388,414,445,464,493,370716
9,416,106,4,14,14,14,14,14,14,14,14,14,18,18,18,18,18,18,18,18,18,18,41,41,59,75,89,106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370718
4,416,118,4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,21,21,27,49,69,84,101,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370737
11,416,101,4,13,13,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,30,38,54,69,85,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370804
4,448,122,4,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,26,26,32,54,69,83,101,116,120,122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370929
5,800,307,4,9,28,30,30,30,30,30,30,30,33,33,33,33,33,33,33,33,33,33,48,50,71,86,101,119,122,122,141,141,141,141,144,163,171,189,198,202,204,204,204,212,214,219,230,233,235,240,283,307,370942
5,416,112,4,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,22,22,28,48,64,78,97,112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371026
4,416,118,4,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,21,21,27,49,65,82,102,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371061
4,416,99,4,12,14,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,19,19,30,35,51,64,79,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371181
11,416,96,4,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,35,35,51,69,85,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371224
11,416,101,4,14,14,15,15,15,15,15,15,15,19,19,19,19,19,19,19,19,19,19,35,35,50,64,83,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371392
10,416,107,4,12,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,33,33,49,63,81,107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371415
5,416,102,4,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,16,16,23,40,55,70,85,102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371422
6,432,114,4,11,17,17,17,17,17,17,17,17,22,22,22,22,22,22,22,22,22,22,44,44,57,76,91,108,114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371483
5,416,125,4,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,21,21,21,47,63,77,95,125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371542
4,800,299,4,11,27,28,28,28,28,28,28,28,32,32,32,32,32,32,32,32,32,32,48,50,70,85,102,115,118,118,134,134,134,134,137,172,182,204,216,216,225,225,227,230,232,238,248,251,252,261,291,299,371565
3,800,288,4,13,27,31,31,31,31,31,31,31,33,33,33,33,33,33,33,33,33,33,52,52,65,82,97,113,114,114,132,132,132,132,139,160,168,185,201,203,208,208,208,214,215,221,231,234,234,243,273,288,371636
5,448,116,4,12,15,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,22,22,27,49,65,81,96,116,116,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,371782
6,432,107,4,10,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,36,37,52,70,87,104,107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372191
11,416,98,4,10,10,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,32,32,49,66,82,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372196
8,800,499,4,12,77,77,77,77,77,77,77,77,81,81,81,81,81,81,81,81,81,81,97,97,114,131,147,155,165,165,185,185,185,185,192,225,231,253,276,276,287,320,336,346,372,372,398,422,442,474,488,499,372217
1,480,143,4,15,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,27,27,32,43,60,76,94,111,125,127,143,143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372258
8,432,138,4,13,21,21,21,21,21,21,21,21,24,24,24,24,24,24,24,24,24,24,58,61,79,96,110,129,138,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372265
7,432,125,4,18,19,19,19,19,19,19,19,19,26,26,26,26,26,26,26,26,26,26,53,53,72,87,106,121,125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372636
11,416,119,4,20,20,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,49,49,66,82,103,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372808
4,416,110,4,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,30,45,60,77,93,110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372825
4,416,116,4,18,18,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,24,24,31,47,63,81,97,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372873
2,416,111,4,16,16,19,19,19,19,19,19,19,22,22,22,22,22,22,22,22,22,22,45,45,62,78,95,111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372943
1,480,148,4,19,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,26,26,35,42,59,76,95,109,128,132,148,148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372966
