packets_rank,headers_length,size_compress,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
2,368,228,0,2,17,17,17,33,39,98,108,114,138,139,155,171,188,205,205,214,228,228,228,228,228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39449
6,528,429,0,7,22,22,25,43,55,66,72,123,124,144,158,178,193,209,210,211,227,227,246,262,281,290,304,315,337,351,371,389,399,417,429,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39453
21,368,241,0,2,16,22,22,37,43,104,114,121,144,144,162,179,195,208,218,223,240,240,241,241,241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39468
5,528,446,0,5,24,24,24,38,47,103,113,121,150,150,168,185,201,218,218,222,240,240,256,282,296,316,335,351,366,378,392,403,420,433,446,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39475
11,648,611,0,7,22,22,22,37,43,102,109,119,148,149,166,183,196,213,215,216,232,232,258,276,297,318,335,358,373,392,405,422,437,463,478,494,512,532,545,565,576,604,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39481
22,368,291,0,0,17,17,17,30,40,99,106,116,145,146,163,177,194,207,207,207,232,232,251,270,291,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39492
25,368,232,0,2,17,17,17,31,36,94,104,112,138,138,158,173,190,207,209,217,232,232,232,232,232,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39495
23,368,222,0,2,18,18,18,34,39,97,105,114,136,137,148,166,182,199,203,206,222,222,222,222,222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39521
4,368,228,0,2,18,18,19,34,37,95,105,113,136,136,155,167,185,203,204,210,226,226,226,226,228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39528
15,800,756,0,30,49,50,50,68,74,128,141,149,173,174,192,208,222,237,237,243,258,258,278,303,327,342,355,370,387,405,419,431,450,476,488,507,526,538,551,568,583,608,626,644,657,675,691,708,722,729,747,756,39539
19,368,242,0,2,16,23,26,44,54,64,72,125,125,151,167,177,198,217,224,227,242,242,242,242,242,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39543
4,368,227,0,2,14,14,14,34,35,98,105,115,133,134,150,167,184,200,202,209,224,224,224,227,227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39551
5,528,441,0,8,26,26,26,42,49,106,116,123,147,147,162,177,194,213,213,217,234,234,252,276,291,310,327,347,361,375,385,397,414,429,441,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39629
8,528,441,0,8,25,25,25,38,44,104,112,117,144,144,162,176,192,210,211,212,233,233,261,278,292,313,331,346,361,374,387,398,416,426,441,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39632
23,368,245,0,2,15,15,27,41,55,67,73,126,126,146,162,179,192,215,221,226,243,243,243,243,245,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39647
16,368,283,0,4,17,17,17,31,41,99,108,116,136,137,154,171,188,202,205,209,226,226,242,262,283,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39695
12,368,291,0,4,19,19,19,38,43,101,110,118,143,143,161,177,192,208,208,215,231,231,251,268,291,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39713
14,800,757,0,25,40,40,40,54,65,122,132,140,166,167,181,199,215,234,234,239,256,256,276,303,324,340,354,368,385,403,411,428,448,474,487,509,522,536,552,568,583,606,624,643,659,674,689,707,721,734,745,757,39715
16,368,290,0,4,21,22,22,38,46,103,111,121,141,147,162,179,195,216,216,220,233,233,252,271,290,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39717
18,368,246,0,2,16,25,26,45,55,65,73,124,125,147,167,180,200,215,224,227,244,244,244,244,246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39719
19,368,240,0,2,18,18,18,37,42,100,109,117,141,144,160,177,194,213,213,220,238,238,240,240,240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39720
3,800,697,0,15,30,31,34,48,62,72,80,131,131,155,174,192,207,222,222,222,239,239,249,261,294,306,323,338,354,364,382,396,413,430,447,457,470,482,502,515,530,549,563,573,591,605,621,638,653,669,684,697,39726
15,720,600,0,5,22,22,26,42,53,65,73,123,123,149,167,183,198,216,216,216,236,236,246,260,274,288,308,326,340,357,370,386,403,419,436,451,469,481,493,504,521,535,550,559,575,588,600,-1,-1,-1,-1,-1,39738
4,528,455,0,8,25,25,25,43,49,107,116,123,156,156,175,191,202,223,223,227,248,248,266,287,304,324,343,360,375,386,400,412,429,441,455,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39780
12,368,294,0,4,22,22,22,39,44,104,113,119,154,156,170,187,201,217,220,224,235,235,256,272,294,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39788
20,368,239,0,2,19,20,24,39,51,59,67,121,121,143,162,177,197,213,219,225,238,238,238,238,239,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39796
1,368,299,0,4,20,25,28,42,54,62,74,123,123,140,157,174,187,208,224,224,247,247,270,288,299,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39889
2,368,225,1,2,17,17,17,35,40,97,108,114,135,136,151,165,185,196,200,209,224,224,224,225,225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39890
3,800,693,0,17,34,34,36,53,64,76,84,135,135,153,167,186,199,218,218,221,238,238,242,256,290,299,319,333,348,363,378,393,409,426,442,451,466,477,497,510,525,540,559,573,590,600,614,628,650,667,680,693,39891
8,528,438,0,8,25,25,25,42,48,109,118,126,145,147,159,178,193,211,211,211,230,230,258,277,291,312,328,348,359,377,388,399,416,429,438,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39896
9,704,627,0,5,22,22,26,43,53,64,71,124,124,140,158,175,192,209,209,209,227,227,232,242,262,281,299,317,330,345,357,369,385,398,415,438,459,472,490,510,524,533,553,577,598,627,-1,-1,-1,-1,-1,-1,39897
