size_decompress,size_compress,check_operation,headers_length,packets_rank
40,7,False,40.0,0
40,7,False,40.0,1
40,7,False,40.0,2
40,7,False,40.0,0
40,7,False,40.0,1
40,7,False,40.0,2
40,7,False,40.0,0
40,7,False,40.0,1
40,7,False,40.0,2
40,7,False,40.0,0
40,7,False,40.0,1
40,7,False,40.0,2
40,7,False,40.0,0
40,7,False,40.0,1
40,7,False,40.0,2
40,7,False,40.0,0
40,7,False,40.0,1
40,7,False,40.0,2
40,7,False,40.0,0
40,7,False,40.0,1
40,7,False,40.0,2
40,7,False,40.0,0
40,7,False,40.0,1
40,7,False,40.0,2
40,7,False,40.0,0
40,7,False,40.0,1
40,7,False,40.0,2
40,7,False,40.0,0
40,7,False,40.0,1
40,7,False,40.0,2
40,7,False,40.0,0
40,7,False,40.0,1
40,7,False,40.0,2
40,7,False,40.0,0
40,7,False,40.0,1
40,7,False,40.0,2
40,7,False,40.0,0
40,7,False,40.0,1
40,7,False,40.0,2
40,7,False,40.0,0
40,7,False,40.0,1
40,7,False,40.0,2
40,7,False,40.0,0
40,7,False,40.0,1
40,7,False,40.0,2
40,7,False,40.0,0
40,7,False,40.0,1
40,7,False,40.0,2
40,7,False,40.0,0
40,7,False,40.0,1
40,7,False,40.0,2
40,7,False,40.0,0
40,7,False,40.0,1
40,7,False,40.0,2
40,7,False,40.0,0
40,7,False,40.0,1
40,7,False,40.0,2
40,7,False,40.0,0
40,7,False,40.0,1
40,7,False,40.0,2
