packets_rank,headers_length,size_compress,level_compress_0,level_compress_1,level_compress_2,level_compress_3,level_compress_4,level_compress_5,level_compress_6,level_compress_7,level_compress_8,level_compress_9,level_compress_10,level_compress_11,level_compress_12,level_compress_13,level_compress_14,level_compress_15,level_compress_16,level_compress_17,level_compress_18,level_compress_19,level_compress_20,level_compress_21,level_compress_22,level_compress_23,level_compress_24,level_compress_25,level_compress_26,level_compress_27,level_compress_28,level_compress_29,level_compress_30,level_compress_31
2,32,27,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,16,16,18,18,18,21,21,21,21,21,26,27,27,27,27
0,32,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,18,18,18,21,21,22,24,24,24,26,26,26,29,30,31
1,32,34,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,17,17,22,22,26,26,26,26,26,26,32,34,34,34,34
2,32,25,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,16,16,17,17,17,17,17,17,17,17,17,23,23,25,25
0,32,28,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,17,17,19,20,21,22,22,22,22,22,27,27,28,28,28
1,32,33,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,16,17,17,20,20,20,25,26,26,26,26,26,31,32,33
2,32,28,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,16,16,16,16,16,18,19,20,20,22,24,25,25,26,28
0,32,30,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,16,17,19,19,19,19,22,23,23,26,26,26,29,30,30
1,32,33,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,17,17,17,17,22,22,22,25,26,27,28,30,31,32,33
2,32,25,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,16,16,16,16,16,19,19,20,20,22,22,22,25,25,25
